Station Name,Time Period,Avg Daily Entries_x,Date,Avg. Daily Rides,City,State,Line,Time Category,Quarter,Metro Lines,Weekday/Weekend,Service Hours,Average fare_x,Avg Daily Tapped Entries_y,Avg Daily NonTap Entries_y,Avg Daily Entries_y,Average fare_y,Total Expected Revenue_y,Actual Revenue_y,Revenue loss_y,Paying Riders_y,Non Paying Riders_y
Addison Road,Late Night,0.0K,45630,0, CAPITOL HEIGHTS, MD,"blue, silver",Late Night,4th Qtr,Blue Line ,Weekday,12am-Close,2.4,1,0,1,2.4,2.4,2.4,0,1,0
Addison Road,Evening,0.1K,45630,100, CAPITOL HEIGHTS, MD,"blue, silver",Evening,4th Qtr,Blue Line ,Weekday,7pm-12am,2.4,86,6,92,2.4,220.8,206.4,14.4,0.934782609,0.065217391
Addison Road,PM Peak,0.2K,45630,200, CAPITOL HEIGHTS, MD,"blue, silver",PM Peak Hours,4th Qtr,Blue Line ,Weekday,3pm-7pm,2.4,192,20,212,2.4,508.8,460.8,48,0.905660377,0.094339623
Addison Road,Midday,0.4K,45630,400, CAPITOL HEIGHTS, MD,"blue, silver",Midday,4th Qtr,Blue Line ,Weekday,9:30am-3pm,2.4,392,20,412,2.4,988.8,940.8,48,0.951456311,0.048543689
Addison Road,AM Peak,1.0K,45630,1000, CAPITOL HEIGHTS, MD,"blue, silver",AM Peak Hours,4th Qtr,Blue Line ,Weekday,Open-9:30am,2.4,964,44,1008,2.4,2419.2,2313.6,105.6,0.956349206,0.043650794
Addison Road,Late Night,0.0K,45647,0, CAPITOL HEIGHTS, MD,"blue, silver",Late Night,4th Qtr,Blue Line ,Weekend,12am-Close,2.4,7,0,7,2.4,16.8,16.8,0,1,0
Addison Road,Evening,0.1K,45647,100, CAPITOL HEIGHTS, MD,"blue, silver",Evening,4th Qtr,Blue Line ,Weekend,7pm-12am,2.4,68,6,74,2.4,177.6,163.2,14.4,0.918918919,0.081081081
Addison Road,PM Peak,0.2K,45647,200, CAPITOL HEIGHTS, MD,"blue, silver",PM Peak Hours,4th Qtr,Blue Line ,Weekend,3pm-7pm,2.4,146,10,156,2.4,374.4,350.4,24,0.935897436,0.064102564
Addison Road,Midday,0.3K,45647,300, CAPITOL HEIGHTS, MD,"blue, silver",Midday,4th Qtr,Blue Line ,Weekend,9:30am-3pm,2.4,247,18,265,2.4,636,592.8,43.2,0.932075472,0.067924528
Addison Road,AM Peak,0.2K,45647,200, CAPITOL HEIGHTS, MD,"blue, silver",AM Peak Hours,4th Qtr,Blue Line ,Weekend,Open-9:30am,2.4,147,7,154,2.4,369.6,352.8,16.8,0.954545455,0.045454545
Addison Road,Late Night,0.0K,45448,0, CAPITOL HEIGHTS, MD,"blue, silver",Late Night,2nd Qtr,Blue Line ,Weekday,12am-Close,2.4,11,0,11,2.4,26.4,26.4,0,1,0
Addison Road,Evening,0.1K,45448,100, CAPITOL HEIGHTS, MD,"blue, silver",Evening,2nd Qtr,Blue Line ,Weekday,7pm-12am,2.4,110,7,117,2.4,280.8,264,16.8,0.94017094,0.05982906
Addison Road,PM Peak,0.2K,45448,200, CAPITOL HEIGHTS, MD,"blue, silver",PM Peak Hours,2nd Qtr,Blue Line ,Weekday,3pm-7pm,2.4,223,10,233,2.4,559.2,535.2,24,0.957081545,0.042918455
Addison Road,Midday,0.4K,45448,400, CAPITOL HEIGHTS, MD,"blue, silver",Midday,2nd Qtr,Blue Line ,Weekday,9:30am-3pm,2.4,405,17,422,2.4,1012.8,972,40.8,0.95971564,0.04028436
